Right_mean_margin,Right_std_margin,Right_min_margin,Right_max_margin,Right_median_margin,Right_skewness_margin,Right_kurtosis_margin,Left_mean_margin,Left_std_margin,Left_min_margin,Left_max_margin,Left_median_margin,Left_skewness_margin,Left_kurtosis_margin
338.595,611.0848422248621,10,2060,71.0,2.1885215873026067,3.344219135332799,354.125,587.9571817854301,0,2059,103.0,2.1989232099978935,3.5041479997011376
163.665,224.47025919107085,7,1440,65.0,3.0100872467848507,12.735359803972576,319.945,329.3353318107463,143,2047,216.5,3.3848994972535382,11.759832296110304
106.515,263.2302616116557,1,1241,34.0,3.7615781459899997,12.700970300080119,286.455,179.37812165266467,96,853,234.5,1.2388888730353693,0.928413514517902
264.185,449.86553074643194,1,1918,77.5,2.750467367580468,6.754633617344009,276.215,349.47316957998567,67,1741,165.0,3.069317243960376,9.729406537878658
314.42,325.9341635897881,26,1170,126.5,0.9343074716273935,-0.34623132107951937,412.93,445.78164100519706,31,1621,170.5,1.244828973117,0.13475924087416669
154.19,136.81041388261949,22,475,105.0,1.1260571851645762,0.00501858193102489,469.085,433.96382427443706,83,1448,402.5,1.1149758049396787,0.025870031976101604
325.555,317.2460595286127,6,1266,196.5,0.5016744131732774,-1.1382728633347232,244.95,169.9031870355119,100,761,147.5,1.1298366480708641,0.059797652887152
62.89,71.42475325042726,1,331,36.0,2.518348623737942,5.965461206382072,177.195,208.0662992882257,2,1562,175.0,3.3102156088068617,17.957222661852445
241.24,200.61629266941935,85,847,128.0,1.6571733847011547,2.011975820446551,207.085,359.89853089126154,14,1678,82.5,3.2553202385644506,9.697236148623674
306.305,417.06684806367525,12,1844,130.0,1.951786489045172,3.0225669033174025,186.815,223.17001377929626,0,763,84.0,1.3914050871711754,0.7225653273654689
215.87,301.4002882693451,16,1391,124.5,2.6968324270144657,6.725548679373778,450.465,428.40111619460504,43,1709,208.5,1.0495476580767176,0.24442338733973745
172.37,237.1612116293631,3,979,65.0,2.08922747566148,3.638556929957767,363.19,544.4976790699504,1,1968,126.0,1.8639729039263786,2.232677241217199
342.595,492.8554080470316,29,2023,93.0,2.1105060468838115,3.6754424461135287,216.24,139.52216516691644,52,572,162.5,1.1538503537392297,0.4700496703923789
253.975,500.6745142516298,1,2151,55.5,2.8162309105426204,6.662681048917575,272.32,416.33099221097757,56,2150,105.0,2.7395317830343666,7.195555220671787
432.945,705.1811214469849,10,2064,64.0,1.5185276940220935,0.5401523957129308,419.63,628.0076841542492,20,2063,135.5,1.9649416437597957,2.242822272705822
272.68,363.90369204698527,27,1707,66.0,1.801001162174859,3.2428721857064797,208.705,176.88504621042543,5,454,138.5,0.2967446754078323,-1.5843675129728014
138.94,173.72445808429913,1,558,66.0,1.6209774762276294,1.1760258218895103,231.095,243.10093851429832,80,2120,159.0,5.038946901153817,34.398078732184054
59.245,58.36064426473525,11,250,36.0,2.1742611707810005,3.8719856377853237,504.225,620.894560008574,0,1737,109.0,0.9494039131055302,-0.6864917408910478
97.075,108.34218717846285,7,820,44.0,2.3644589886683467,9.196770451247568,317.47,476.76039208106056,14,1871,70.0,1.814939326548863,1.9610474708880208
56.07,82.2526143220632,1,479,21.0,2.7338689477054765,9.211154926858862,244.225,374.38568023204914,0,1880,52.5,1.6929341207099549,2.0011220029428083
53.725,54.724245910311666,2,255,41.0,1.7116212223088212,2.5779670688838747,453.965,547.0432022249272,104,1975,175.5,1.7246293095398422,1.6046682063859263
283.91,420.9677435451884,31,1715,115.0,2.1283020679481908,3.534829607219635,229.04,282.6884010006451,1,1414,103.0,2.334831328769473,6.679487340439952
436.82,602.5898857865617,81,2208,118.0,1.8493635022274286,1.8536921390035337,275.27,318.4731114451703,83,2207,132.0,2.5516491192566177,8.090453256925278
187.915,376.76712316828076,20,2143,56.5,3.859663002144686,15.460308628027153,503.4,629.4067638434295,47,2142,213.0,1.547603078318213,0.9335095589791771
282.19,580.4078135675389,1,2163,67.0,2.6996189661612675,5.697010518199207,464.365,667.762002689716,61,2162,130.0,1.768455205361001,1.6446760983099615
224.58,223.35822816823253,42,1550,160.0,3.53080515627953,17.074390017443204,493.68,615.8401685225064,0,1938,94.5,1.1234951584466206,-0.23736822336740726
184.23,268.8178608492333,34,1303,70.5,2.9107536223606725,8.332739781602164,414.29,321.07540074696504,188,1510,292.5,2.510716756830499,5.40768633865196
356.505,583.6695388900648,9,1946,88.0,2.067870086750571,2.764260875371157,368.11,501.5921463764485,0,1945,136.5,1.9741443630464586,3.600228454372844
227.57,348.5801279880147,1,1396,96.0,2.1499295168660115,3.3772148327699334,846.245,558.852858597694,267,2090,541.5,0.46370885444474924,-1.4441967052627975
260.21,281.66012859508714,15,1846,223.5,2.901175777107453,12.938790710184486,191.0,276.8397392103059,1,1684,108.5,3.3465318019957313,14.547786508835735
279.615,448.46324619856546,1,2453,180.5,4.087688967916929,16.694066076765306,487.23,846.4720739397123,1,2452,73.5,1.7804508687992153,1.3481938302337566
249.39,338.1077077057696,1,1406,144.0,2.2541334388079663,4.621394250240039,457.785,482.68216159353034,55,2326,283.0,1.6410631409278842,2.1390575110810346
510.75,720.2974730961811,89,2402,158.0,1.860074746367799,1.8978496691982851,316.06,565.3601390566646,27,2401,151.5,3.1239084131125168,8.51092437548338
176.43,305.92759530294006,7,1182,29.0,2.315768887089682,4.482356487992322,113.395,176.54603219107497,0,993,26.0,2.9907471658718507,10.872313159126092
269.065,352.1028155790484,16,1172,99.0,1.6170642733526663,1.3296157468074599,300.16,390.1839334333844,0,1076,111.0,1.3265410965558724,0.0934787460259594
176.985,330.5087516991777,1,1196,40.0,2.417968992245131,4.356715320020023,268.35,310.06998318502536,1,1021,104.0,1.0458260543811648,-0.48692033550652924
365.75,437.75788666417355,16,1195,160.5,1.0931953564376293,-0.44449516524626054,283.325,239.00425633812165,102,1081,186.0,2.2191057417620494,4.6968003986071345
134.55,205.9265310272199,5,1164,39.5,2.5358581542191656,7.93531615083686,227.9,271.11884319552274,1,993,107.0,2.0139439635599286,2.6213038817085685
281.65,355.14352325581405,27,1179,110.0,1.5106125948281537,0.9537813828762167,230.66,282.34211472740606,0,1033,106.0,1.7913667222799536,2.4372831799680332
206.635,175.02201376257656,1,1219,131.0,2.0912940875610295,6.380626014634622,86.84,156.0780451597997,9,955,46.0,4.003029074551821,16.418287623717102
168.91,238.04904671772192,1,1178,72.0,2.4812034658893958,6.223802751095979,283.49,348.1766719273018,30,1075,94.5,1.2727188525073407,-0.04394807269698564
281.765,332.99030389402805,57,1251,120.5,2.0131169575291907,2.9946898818065044,232.415,231.257742556789,95,979,128.0,2.2932499105784405,3.9788409110647933
363.41,421.2278915063848,17,1226,151.0,1.2309073767110577,-0.036251350807372074,492.885,315.18865974389956,183,1032,384.5,0.7178316730899753,-1.0352422672560366
228.945,314.0066605813435,10,1230,108.0,2.0582236956491244,3.628336880611152,283.345,255.2552490859485,26,1044,192.0,1.8619952956668966,2.8890157825171983
581.105,472.52332794504554,101,1275,413.5,0.49173365451918427,-1.437651255253341,526.5,424.3338616356857,116,1079,240.0,0.36981463410598886,-1.7059990950458903
175.475,199.6752875981074,23,701,72.0,1.4404267682191152,1.1067599491181355,595.425,656.2993053983313,38,2081,289.0,0.6899885545444959,-1.3013984784255963
361.88,683.5418883768784,23,2195,51.0,2.164875024211669,2.930658019259444,768.32,840.6622345287165,1,2194,371.0,0.5584523694629124,-1.441383686799424
187.815,214.14507076199135,2,831,74.0,1.2981575581994658,0.6027590382476085,259.89,452.2999159516275,1,1955,26.5,2.4486354851483663,5.779744163187422
185.5,338.6165914126174,29,2192,80.0,5.229041176656959,28.158038844065803,694.02,785.8000049880351,1,2191,183.0,0.7489405061302387,-1.064523699800174
145.45,279.2350057607587,1,2089,17.0,3.399700440621969,14.715802444997099,119.935,223.01808470509224,3,1255,64.0,4.118660074719247,17.556234964400755
184.22,255.18815917458747,19,1229,82.5,2.441201862808952,5.3158272132257345,314.385,429.7025110644285,1,2192,144.0,2.380326348826626,5.692002550661815
116.12,166.97318895303437,1,997,57.0,2.9037691692897405,9.644408504271809,238.0,417.49574065771816,0,2283,101.0,3.614557868726021,14.331678638769382
306.215,459.1722383784628,11,2080,37.0,2.0014826456158867,3.5231067705413315,142.68,210.22105522592543,1,1106,88.5,3.377897732292153,12.718764784278253
316.145,454.9038376211083,9,2046,121.5,2.3443421374242055,5.258813981225709,877.33,593.5532481521435,154,2045,1167.0,0.11960191195013314,-1.4029846209354682
703.265,870.4585141748565,12,2048,177.0,0.8218804678070567,-1.2229244091466647,1065.42,804.9972836809245,170,2047,628.0,0.16084480373748805,-1.830656704154241
202.72,305.63248794662223,20,2023,70.0,2.4970663558663726,7.406475396920166,568.315,674.2522273641575,1,2022,67.0,0.8086833179100339,-0.8247743541056898
710.495,782.5468598841684,100,2249,332.5,1.243297460134907,-0.1311150843198705,966.26,767.5569036898888,249,2248,461.0,0.7091090874111954,-1.142375325393582
244.525,84.5071396882622,94,893,276.0,4.112948403764785,32.62044828019785,345.07,547.8776915741533,25,1799,53.0,1.8070164714974106,1.9012205879259785
356.485,305.5591789394827,132,2138,295.0,3.27008087923568,10.959118906317537,636.66,731.4439662605026,20,2137,309.0,0.902439385151997,-0.9583334919752988
533.905,662.3185603255877,43,2149,206.5,1.5207796337305866,1.0128231269060386,404.52,660.6898097622045,29,2148,84.5,1.9413791707552421,2.278862262647224
452.85,467.6069812831321,49,2124,252.5,1.7156175500343351,2.459218680717692,358.73,549.32717832292,62,2123,87.5,1.972436632866446,2.5644421357493314
147.4,145.43046482942464,9,762,91.5,1.6402480031495146,3.6387940894978685,250.855,457.8055411883007,23,2040,80.5,2.9279753894881586,7.662888990045083
292.38,283.2261124150964,68,1165,175.5,1.6649824205221104,1.5852193943121513,402.265,372.93383191921555,0,998,236.5,0.29320684379497086,-1.5827423498758348
266.67,344.26909117095965,49,2002,98.0,2.3466838531269243,5.3297246046469375,378.275,610.2773151460809,1,2057,122.0,2.0360529526151057,2.5578601398173637
264.8,296.25281204271465,39,1713,182.5,2.6049762252503537,8.195331488307705,320.27,293.84858696325466,140,1412,214.0,2.7890885396448137,7.591557616742319
157.91,226.23484018729923,6,1870,37.5,3.1788888688185453,16.5760661154718,239.275,322.0650225790506,0,1869,68.0,1.7479793830401984,3.1296376589680515
293.475,530.5635473379403,1,2163,31.5,2.4749984916048966,5.764650875562028,710.765,563.3277826706607,280,2162,440.5,1.2724495262701088,0.35123510728177987
241.92,395.41673659304024,20,1980,57.0,3.02058628650816,9.397699712464485,264.77,370.9962780021618,27,1979,107.5,2.9343527384784656,9.21003682478667
212.56,356.05875298592144,1,2242,59.0,2.8702546187745246,8.48268708121632,749.87,483.09901302104674,387,2241,614.0,1.4793134328415276,1.3110300428734192
519.72,385.6638753158223,260,2096,337.5,2.1632436600050458,4.51618029686968,424.005,499.71820699974006,7,2095,287.5,1.472342768657096,1.2331396074781518
458.31,816.3799452306964,1,2158,24.0,1.461493000820527,0.2621780740948947,858.725,752.0561626193006,284,2157,351.5,0.9717705244492902,-0.8304929523080125
334.97,495.8575325260413,1,2112,70.0,1.721701819130321,2.104161717862559,946.73,684.8648673517014,267,2111,802.0,0.35106683446880366,-1.615353674743118
474.175,765.4122969331514,20,2162,80.5,1.595760930267713,0.8024813028702358,851.92,618.5221514701768,313,2161,748.5,1.3623423544800655,0.49812179921644706
387.135,590.161775602173,3,2100,106.0,1.8275195907982926,1.9756412472564264,286.89,369.19276045429035,1,1328,180.0,1.6455462752176493,1.981384009068277
450.405,402.1178119012403,262,2168,301.0,2.9041825148851483,8.2928961511509,727.645,631.0730742952856,29,2167,553.5,0.6474997628326197,-0.8574943037002534
417.775,676.7583569810707,1,1936,66.0,1.603255912188368,0.8621768685530209,541.645,721.7091724670789,0,1935,76.0,1.112262868853454,-0.4889572110685294
489.96,375.9512001904278,276,2324,360.5,2.9518597845159023,9.78593551627566,556.315,651.8996021099845,102,2145,164.0,1.4449356794475356,0.5995133129125949
79.96,118.69918230298377,1,1250,42.5,5.2038870385067275,45.47547867175786,106.835,158.98259370290359,0,819,43.0,2.899394452446239,8.455145700754342
163.03,207.08952037038512,1,715,68.0,1.6865486306799211,1.5254180145437282,221.285,401.3331725035436,0,1908,32.5,2.9686082540114667,8.870623123789107
156.15,234.06477542654184,2,1203,57.5,2.5903891708538276,7.501114823749278,91.075,143.59445047086666,0,712,41.0,2.5502722319996467,5.617889066097863
276.34,359.934771310011,34,1791,141.0,2.890562414280334,8.129017966735518,450.9,300.77486196146737,223,1783,324.0,2.6014609529921215,7.925420894509362
298.825,417.4196090567928,4,1106,67.5,1.2586734480143829,-0.19590211408686997,308.835,336.0740791976416,104,1065,134.5,1.5755719779515733,0.7544785879909162
372.4,439.0055802577997,32,1143,108.0,0.8859690729092488,-0.9751932764941382,297.805,363.0411842786052,42,1063,161.0,1.5229514249587086,0.5702673908833575
199.18,330.92004773048984,1,1112,24.0,1.7416037907252477,1.6358413493367836,163.795,261.74467396058645,1,1058,37.0,2.3919665234512593,5.0251885513366705
321.32,434.0420256150318,6,1129,46.5,1.1537795114429559,-0.4107396208911682,319.925,418.5756409671437,16,1077,56.0,1.0982470695996893,-0.5915692641413877
134.415,254.1521776851629,2,1119,24.0,2.9618856585554787,8.327966041160126,431.335,378.34736209868714,69,1054,221.5,0.6023644268645403,-1.2816361182136438
93.385,105.42074960479167,6,330,38.0,1.1686675034207534,0.02105717536465912,469.01,431.3377926367962,88,1081,189.0,0.5916877487105658,-1.4827311791123707
139.21,188.84232315631832,31,710,45.0,1.9442415347857884,2.4011674492370574,612.825,428.0243199484543,80,1073,473.5,-0.0470348744583892,-1.7619491468152055
218.77,231.11646675654714,28,1153,110.0,1.1429321880955727,0.3641261119216135,480.63,426.09935036550985,35,1079,282.0,0.4155251201716516,-1.5713509471039084
148.27,215.99503786408962,18,1247,78.0,3.5789455780747415,14.557738789260448,194.755,131.22953527940368,58,684,154.5,1.8131971965978506,3.7961879966635745
208.765,330.72818968491526,1,1577,80.0,2.332889128739561,5.027254400892145,170.12,200.7990460246814,10,798,90.5,1.83079781525004,2.3837970714794734
120.835,183.588128098999,14,924,38.0,2.356282504240132,5.185256380330042,119.135,166.1801310469271,0,837,43.5,2.896996750732432,9.194269157323923
